name,lat,lon
Sydney Central Business District,-33.8648,151.2077
Kingsford,-33.924,151.2275
Springfield Lakes,-27.6676,152.9249
Bracken Ridge,-27.3171,153.031
Kallangur,-27.252,152.9923
North Lakes,-27.2243,153.0208
The Gap,-27.4419,152.9386
Caroline Springs,-37.7412,144.7363
Hoppers Crossing,-37.8826,144.7003
Logan City,-27.6392,153.1094
Carindale,-27.5058,153.1024
Parramatta,-33.8178,151.0035
Ferntree Gully,-37.8846,145.2954
Adelaide Hills,-34.9112,138.7074
Canning Vale,-32.058,115.9181
Glenmore Park,-33.7907,150.6693
Southbank,-37.8228,144.9643
Docklands,-37.8149,144.9505
Helensvale,-27.9183,153.3328
Elwood,-37.8821,144.9822
Balwyn North,-37.7909,145.0939
Malvern East,-37.874,145.0425
Brighton East,-37.9023,145.0173
Redbank Plains,-27.6461,152.8596
Labrador,-27.944,153.3981
St Albans,-37.745,144.8005
Endeavour Hills,-37.977,145.2587
Kellyville,-33.7103,150.951
Taylors Lakes,-37.6986,144.7863
Cherrybrook,-33.722,151.0461
Roxburgh Park,-37.6258,144.9255
Prestons,-33.9418,150.8717
Wyndham Vale,-37.8914,144.6237
Ballajura,-31.8406,115.8955
Willetton,-32.0525,115.8878
Glenwood,-33.7333,150.9328
Cabramatta,-33.8974,150.9345
Campsie,-33.9125,151.1028
Casula,-33.9522,150.8995
Cranebrook,-33.7061,150.7094
Greenacre,-33.9003,151.0556
Greystanes,-33.8235,150.9461
Ellenbrook,-31.7674,115.9694
Alexandra Hills,-27.5322,153.2289
Calamvale,-27.6233,153.0478
Yagoona,-33.9049,151.02
Highton,-38.1706,144.3114
Pacific Pines,-27.9399,153.3144
Robina,-28.0707,153.3933
Paralowie,-34.757,138.6082
Baldivis,-32.3289,115.8305
Dianella,-31.8882,115.8719
Duncraig,-31.8329,115.7759
Morley,-31.8878,115.9099
Thornlie,-32.06,115.955
Landsdale,-31.8075,115.866
Punchbowl,-33.9289,151.0511
Parafield Gardens,-34.7825,138.6108
Hillside,-37.6905,144.7417
St Clair,-33.7973,150.7847
Kirwan,-19.3032,146.7253
Bundoora,-37.6982,145.0597
Forest Lake,-27.6256,152.9688
Sunnybank Hills,-27.6102,153.0539
Rochedale South,-27.5952,153.1233
Keilor East,-37.7326,144.865
Cranbourne East,-38.1153,145.2981
Cranbourne North,-38.0776,145.2987
Cranbourne West,-38.0965,145.2671
Narre Warren South,-38.0437,145.2923
Dandenong North,-37.9665,145.2081
Frankston South,-38.166,145.1364
Sunshine West,-37.7912,144.8164
Altona Meadows,-37.8841,144.7837
Taylors Hill,-37.7099,144.7548
Hurstville,-33.9677,151.1015
West Pennant Hills,-33.7457,151.0476
Melbourne City Centre,-37.815,144.9666
Adelaide city centre,-34.9287,138.6033
Wollongong city centre,-34.4279,150.8927
Tanki Leendert,12.5391,-70.02
San Nicolas,12.4362,-69.9071
Oranjestad,12.524,-70.027
Mariehamn,60.0973,19.9348
Xankandi,39.8177,46.7528
Əhmədbəyli,39.8807,48.3916
Şuşa,39.7601,46.7499
Salyan,39.5962,48.9848
Saatlı,39.9321,48.3689
Neftçala,39.3768,49.247
Nakhchivan,39.2089,45.4122
Lerik,38.7739,48.415
Lankaran,38.7543,48.8506
Imishli,39.871,48.06
Fizuli,39.6009,47.1453
Jalilabad,39.2096,48.4919
Pushkino,39.4583,48.545
Beylagan,39.7756,47.6186
Astara,38.456,48.875
Şirvan,39.9378,48.929
Ağdam,39.991,46.9274
Zaqatala,41.6316,46.6448
Zabrat,40.4775,49.9417
Yevlakh,40.6183,47.1501
Göygöl,40.5858,46.3189
Xaçmaz,41.4643,48.8056
Ujar,40.519,47.6542
Tovuz,40.9925,45.6284
Terter,40.342,46.9316
Sumqayıt,40.5897,49.6686
Qaraçuxur,40.3967,49.9736
Shamkhor,40.8298,46.0178
Shamakhi,40.6314,48.6414
Sheki,41.1919,47.1706
Sabunçu,40.4425,49.9481
Sabirabad,40.0087,48.477
Qusar,41.4275,48.4302
Quba,41.3611,48.5134
Hacıqabul,40.0387,48.9429
Qazax,41.0925,45.3656
Hacı Zeynalabdin,40.6233,49.5586
Mingelchaur,40.764,47.0595
Maştağa,40.5298,50.0062
Mardakan,40.4918,50.1429
Lokbatan,40.3256,49.7338
Kyurdarmir,40.3426,48.1565
Khirdalan,40.4481,49.755
İsmayıllı,40.7848,48.1514
Yeni Suraxanı,40.4303,50.036
Göyçay,40.6506,47.7422
Hövsan,40.3744,50.0853
Ganja,40.6828,46.3606
